consumer_id,choice_set_id,alternative_id_in_set,choice,kindle,ipad,galaxy,surface,screen8,screen9,screen10,hd32,hd64,hd128,ram2,ram4,battery8,battery9,p199,p299,p399,p499
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
1,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,2,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,3,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
1,3,3,3,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,4,2,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,4,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1,5,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,5,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,5,3,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
1,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
1,6,3,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,7,2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1,7,3,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
1,8,1,3,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
1,8,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,8,3,3,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,9,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1,9,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,9,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,10,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,10,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,10,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,11,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1,11,2,2,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1,11,3,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,12,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1,12,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
1,12,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,13,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,13,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,13,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,14,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,14,2,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1,14,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,15,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,15,2,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,15,3,3,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
2,16,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
2,16,2,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
2,16,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2,17,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
2,17,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,17,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,18,1,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2,18,2,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2,18,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,19,1,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
2,19,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
2,19,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2,20,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
2,20,2,2,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
2,20,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,21,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2,21,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2,21,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2,22,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2,22,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
2,22,3,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
2,23,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2,23,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
